"Part";"Value";"Device";"Package";"Description";"DIGI-NO";"MAG-STOCK";"MATE";
"IC5";"SN65HVD72";"SN65HVD72";"SON-8";"";"296-35711-1-ND";"";"";
"IC6";"FXMA108";"FXMA108";"20DQFN";"";"FXMA108BQXFSCT-ND";"";"";
"IC7";"MT29F2G08";"MT29F8G08DAA";"TSOP48";"4Gb 8Gb and 16Gb x8 NAND Flash Memory";"557-1487-1-ND";"";"";
"IC8";"LM393";"LM293";"SO-08";"COMPARATOR";"296-1015-1-ND";"";"";
"J1";"AMP-RIBBON-SCKT-10";"AMP-RIBBON-SCKT-10";"AMP-RIBBON-CABLE-SOCKET-10";"";"AHE10H-ND";"";"A3CCB-1006G-ND";
"J5";"";"USB-787616";"USB";"AMP connector";"UE27AC54100-ND";"";"";
"JP2";"LCD_CONN";"PINHD-1X16";"1X16";"PIN HEADER";"";"";"";
"L1";"10uH";"L-USL2012C";"L2012C";"INDUCTOR American symbol";"587-2045-1-ND";"";"";
"L3";"22uH";"L-USSRR1280";"SRR1280";"INDUCTOR American symbol";"SRR1280-220MCT-ND";"";"";
"Q2";"2N7002";"2N7002";"SOT-23";"2N7002 N-channel Logic-Level MOSFET";"";"YES";"";
"Q3";"AO4441";"MOSFET-P-SO8";"SO8.MOSFETN";"P-Channel MOSFET SO8";"785-1196-1-ND";"";"";
"Q4";"12MHz";"CRYSTALHC49UP";"HC49UP";"CRYSTAL";"887-1268-1-ND";"";"";
"R1";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R2";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R3";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R4";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R5";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R6";"1k";"R-US_R0805";"R0805";"RESISTOR American symbol";"";"YES";"";
"R7";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R8";"0.02";"RESISTOR0805";"R0805";"";"P.02AQCT-ND";"YES";"";
"R9";"75";"RESISTOR0805";"R0805";"";"";"YES";"";
"R10";"1";"R-US_R0805";"R0805";"RESISTOR American symbol";"P1.0DCT-ND";"NO";"";
"R11";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R12";"42.2k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R13";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R14";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R15";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R16";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R17";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R18";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R19";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R20";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R21";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R22";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R23";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R24";"6.8k 1%";"RESISTOR0805";"R0805";"";"";"YES";"";
"R25";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R26";"220k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R27";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R28";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R29";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R30";"220k";"RESISTOR0805";"R0805";"";"P220CCT-ND";"NO";"";
"R31";"42.2k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R33";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R34";"11.3k";"R-US_R0805";"R0805";"RESISTOR American symbol";"P11.3KCCT-ND";"";"";
"R35";"300";"R-US_R0805";"R0805";"RESISTOR American symbol";"";"YES";"";
"R36";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R37";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R38";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R39";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R40";"FERRITE";"RESISTOR0805";"R0805";"";"";"YES";"";
"R41";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R42";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R43";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R44";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R45";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R46";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R47";"523";"RESISTOR0805";"R0805";"";"P523CCT-ND";"NO";"";
"R51";"1.5k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R53";"120";"RESISTOR0805";"R0805";"";"";"YES";"";
"R54";"1.5k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R55";"0";"RESISTOR0805";"R0805";"";"";"YES";"";
"S2";"Reset";"SPST2EVQPJ";"EVQPJ";"SPST Switch";"";"YES";"";
"S4";"Chip Erase";"SPST2EVQPJ";"EVQPJ";"SPST Switch";"";"YES";"";
"SV1";"";"MA08-1";"MA08-1";"PIN HEADER";"";"";"";
"T1";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T2";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T3";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T4";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T5";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T6";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T7";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T8";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T9";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T10";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T11";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T12";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T13";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"T14";"2n3906";"MMBT4403LT1-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"YES";"";
"TP2";"PTR1TP06R";"PTR1TP06R";"TP06R";"TEST PIN";"";"";"";
"U$2";"TERM-BLOCK-PLUG";"TERM-BLOCK-PLUG";"TERM-BLOCK-PLUG";"";"A114501-ND";"";"A98223-ND";
"U$5";"AMP-RIBBON-SCKT-20";"AMP-RIBBON-SCKT-20";"AMP-RIBBON-CABLE-SOCKET-20";"";"AHE20H-ND";"NO";"A3CCB-2006G-ND";
"U$21";"TVS-2CHAN";"TVS-2CHAN";"SOT23";"";"GSOT03C-E3-08CT-ND";"";"";
"U1";"ATSAM3X8";"SMARTPRJ_ATSAM3X/AAU";"SMARTPRJ_LQFP144";"";"ATSAM3X8EA-AU-ND";"";"";
"X3";"9HT7-32.768KDZF-T";"CRYSTAL";"TXC-9HT7";"";"887-1860-1-ND";"";"";
